	"Wild 24h"				"Wild 56h"				"Wild 80h"				"Aposymbiotic 24h"				"Aposymbiotic 56h"				"Aposymbiotic 80h"				"Aposymbiotic 92h"			
"Match ID"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"
104	5.20203	4.95449	4.57992	7.58578	6.0774	1.45965	5.12946	5.4729	5.91913	2.75599	8.25208	2.91138	3.12145	3.73011	0.898945	3.95864	4.65577	5.02607	5.65792	3.37567	3.46615	4.04053	4.60782	3.93509	4.85089	5.14617	2.87224	
105	0.634227	0.425463	0.319278	0.537948	0.592595	0.50481	0.623355	0.845429	0.697641	0.535272	0.427278	0.697109	0.529307	0.559013	0.5745	0.500819	0.690513	1.00576	0.884888	0.853229	0.92114	1.14733	0.934631	0.883444	0.519973	0.494037	0.647365	0.337401
106	1.04512	0.874266	0.749359	0.869318	1.24669	1.19164	0.843982	1.3012	1.33925	1.07396	1.05689	1.17262	0.715295	0.736363	0.593173	0.749534	1.11962	1.41193	1.47289	1.18333	1.54832	1.14032	1.36409	1.32692	0.698556	0.827703	0.874463	0.560751
107	4.35276	4.37706	4.04557	3.23676	5.39734	3.25693	3.27106	4.75403	5.20776	5.85521	4.32789	4.54502	3.621	3.97081	3.63561	3.33096	6.16706	5.52489	4.98221	3.88447	4.77419	4.03906	3.61728	3.66435	3.03051	4.46554	4.51467	2.42314
108	1.5904	1.57286	1.68912	1.20634	2.6717	2.81553	2.62111	2.52943	1.92424	2.16921	1.92513	1.96248	2.2569	2.42078	2.37115	2.45853	3.20592	2.29795	2.69826	2.53178	1.83728	2.51015	3.39149	2.44558				
109	0.903737	0.941312	1.09565	0.548698	0.469047	0.301656	0.459334	0.654467	0.836496	1.06888	0.717046	0.877631	0.473728	0.410899	0.553128	0.403318	0.738913	1.11669	1.07914	1.48628	0.844804	0.666871	0.859352	0.682897				
110	0.704303	1.03314	1.0738	1.35299	1.07183	3.49888	4.56037	3.01451	3.4651																			
111	0.743026	0.871023	0.911927	0.84229	0.749242	0.616553	1.53224	2.90419	0.36371	1.24247	1.19137	1.89024	1.56913	2.2672	2.51875	3.21386	2.80692	2.91608	3.29898	2.82201	2.7002	1.87713	1.96873	1.11367	1.39588			
112	0.687488	0.898274	1.42607	0.429526	0.606468	0.967425	0.380742	0.904248	0.925495	1.22415	0.84475																	
113	0.327889	0.395097	1.36898	0.917888	0.875013	0.535831	0.815294	0.88892	0.603035																			
114	1.15181	1.2196	0.728752	1.6175	2.3323	1.81256	0.989121	1.11402	1.07904	0.540321																		
